Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C17, C3, C4, C5, C6, C7, C8, C9",0402,13,100n,C1525
"C14, C15, C16, C2",0402,4,4.7u,C23733
"C18, C19",0402,2,33p,C1562
"C20, C21, C22, C23, C24, C25",0402,6,10u,C15525
"D1, D10, D11, D2, D3, D4, D5, D6, D9",LED_WS2812C-2020,9,WS2812B-2020,C2976072
D7,0603,1,LED,C2286
D8,D_SOD-323,1,1N5819WS,C191023
J1,TF-01A,1,Micro_SD_Card,C91145
"J2, J3",PinHeader_2x16_P2.54mm_Vertical,2,Conn_02x16_Odd_Even,
J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_MountingPin,
J5,TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C165948
J6,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Conn_01x02,C173752
L1,0805,1,3.3u,C42411119
Q1,SOT-23,1,AO3401A,C15127
"R1, R4, R6, R7",0402,4,1k,C11702
"R10, R11, R8",0402,3,5.1k,C25905
R2,0402,1,33,C25105
"R3, R5",0402,2,27,C25100
R9,0402,1,10k,C25744
"SW1, SW2",TS-1088-ARXXX,2,SW_Push,C720477
U1,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
U2,QFN-80-1EP_10x10mm_P0.4mm_EP3.4x3.4mm,1,RP2350B-QFN80,C42415655
"U3, U5",SOT-223-3_TabPin2,2,AMS1117-3.3,C6186
U4,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,C16581
Y1,XTAL_ABM8-272-T3,1,Crystal_GND24,C9002
