Designator,Mid X,Mid Y,Rotation,Layer
C1,152.3,-96.7,180.0,top
C10,167.9,-93.08,90.0,top
C11,156.1,-90.2,180.0,top
C12,151.33,-99.2,180.0,top
C13,151.2,-108.9,180.0,top
C14,166.4,-93.0,0.0,top
C15,165.3,-89.4,270.0,top
C16,165.75,-91.0,180.0,top
C17,155.72,-83.1,0.0,top
C18,160.78,-106.5,0.0,top
C19,154.7,-108.9,180.0,top
C2,161.2,-104.0,270.0,top
C20,176.2,-72.4,0.0,top
C21,173.5,-85.8,0.0,top
C22,148.52,-73.2,0.0,top
C23,150.48,-73.2,180.0,top
C24,160.1,-74.1,90.0,top
C25,165.1,-83.0,0.0,top
C3,167.28,-96.57,0.0,top
C4,160.2,-87.6,90.0,top
C5,152.32,-95.7,180.0,top
C6,159.2,-105.0,270.0,top
C7,156.316668,-104.9,270.0,top
C8,165.6,-102.5,270.0,top
C9,167.28,-97.6,0.0,top
D1,167.15,-109.2,90.0,top
D10,169.95,-116.0,90.0,top
D11,172.75,-116.0,90.0,top
D2,169.95,-109.2,90.0,top
D3,172.75,-109.2,90.0,top
D4,167.15,-112.6,90.0,top
D5,169.95,-112.6,90.0,top
D6,172.75,-112.6,90.0,top
D7,164.0,-70.6125,270.0,top
D8,173.9,-72.25,90.0,top
D9,167.15,-116.0,90.0,top
J1,155.8282,-118.3738,0.0,top
J2,143.27,-94.68,0.0,top
J3,177.65,-94.68,0.0,top
J4,170.16,-122.8,90.0,top
J5,156.75,-66.6,180.0,top
J6,168.5,-70.25,0.0,top
L1,163.75,-89.5625,270.0,top
Q1,170.8125,-74.25,180.0,top
R1,171.1,-89.6,180.0,top
R10,155.0,-73.71,90.0,top
R11,171.3,-85.8,180.0,top
R2,166.11,-92.0,180.0,top
R3,160.9,-89.790001,90.0,top
R4,172.1,-97.25,0.0,top
R5,161.9,-89.790001,90.0,top
R6,160.790001,-107.5,0.0,top
R7,172.9,-76.0,0.0,top
R8,158.3,-73.91,90.0,top
R9,167.59,-72.8,180.0,top
SW1,172.1,-93.075,90.0,top
SW2,172.1,-100.7,270.0,top
U1,151.6625,-86.1,270.0,top
U2,159.8,-97.35,90.0,top
U3,150.6,-78.2,90.0,top
U4,171.05,-80.55,0.0,top
U5,164.75,-77.75,90.0,top
Y1,157.75,-107.7,270.0,top
